,index,lng,lat,lng_m,lat_m
122,122,106.446545,29.606295,11849704.12,3431739.744
123,123,106.446305,29.605125,11849677.4,3431590.71
124,124,106.446305,29.605125,11849677.4,3431590.71
125,125,106.446148,29.604569,11849659.93,3431519.887
126,126,106.446015,29.604097,11849645.12,3431459.764
127,127,106.445988,29.604003,11849642.12,3431447.791
128,128,106.445882,29.603676,11849630.32,3431406.138
129,129,106.445816,29.603475,11849622.97,3431380.535
130,130,106.445717,29.602955,11849611.95,3431314.299
131,131,106.445641,29.601605,11849603.49,3431142.342
132,132,106.445602,29.600915,11849599.15,3431054.453
133,133,106.445549,29.599986,11849593.25,3430936.123
134,134,106.445599,29.599726,11849598.81,3430903.007
135,135,106.445599,29.599726,11849598.81,3430903.007
136,136,106.445739,29.599496,11849614.4,3430873.711
137,137,106.445965,29.599243,11849639.55,3430841.486
138,138,106.44613,29.599057,11849657.92,3430817.795
139,139,106.446238,29.598919,11849669.95,3430800.217
140,140,106.446332,29.598799,11849680.41,3430784.933
141,141,106.446332,29.598799,11849680.41,3430784.933
142,142,106.44642,29.598686,11849690.21,3430770.54
143,143,106.44654,29.598196,11849703.56,3430708.128
144,144,106.44652,29.597817,11849701.34,3430659.855
145,145,106.446431,29.597417,11849691.43,3430608.907
146,146,106.446122,29.596447,11849657.03,3430485.359
147,147,106.446062,29.596097,11849650.35,3430440.78
148,148,106.446053,29.595817,11849649.35,3430405.117
149,149,106.446113,29.595467,11849656.03,3430360.538
150,150,106.446113,29.595467,11849656.03,3430360.538
151,151,106.446324,29.594977,11849679.52,3430298.129
152,152,106.446363,29.594887,11849683.86,3430286.666
153,153,106.446513,29.594727,11849700.56,3430266.287
154,154,106.446513,29.594727,11849700.56,3430266.287
155,155,106.446703,29.594597,11849721.71,3430249.73
156,156,106.446973,29.594517,11849751.77,3430239.54
157,157,106.447353,29.594487,11849794.07,3430235.719
158,158,106.447353,29.594487,11849794.07,3430235.719
159,159,106.447914,29.594489,11849856.52,3430235.974
160,160,106.448144,29.59449,11849882.12,3430236.101
161,161,106.449014,29.594493,11849978.97,3430236.483
162,162,106.449174,29.594494,11849996.78,3430236.611
163,163,106.449174,29.594494,11849996.78,3430236.611
164,164,106.449795,29.594433,11850065.91,3430228.842
165,165,106.450115,29.594342,11850101.54,3430217.251
166,166,106.450395,29.594181,11850132.71,3430196.745
167,167,106.450586,29.59402,11850153.97,3430176.24
168,168,106.450726,29.59379,11850169.55,3430146.946
169,169,106.450726,29.593789,11850169.55,3430146.818
170,170,106.450816,29.59357,11850179.57,3430118.925
171,171,106.450816,29.593569,11850179.57,3430118.798
172,172,106.450877,29.59327,11850186.36,3430080.716
173,173,106.450877,29.593269,11850186.36,3430080.589
174,174,106.451319,29.591368,11850235.57,3429838.471
175,175,106.451319,29.591367,11850235.57,3429838.344
176,176,106.4516,29.590357,11850266.85,3429709.709
177,177,106.451753,29.58997,11850283.88,3429660.421
178,178,106.451884,29.589639,11850298.46,3429618.265
179,179,106.452604,29.587823,11850378.61,3429386.981
180,180,106.452604,29.587822,11850378.61,3429386.854
181,181,106.452703,29.587423,11850389.63,3429336.039
182,182,106.452745,29.587252,11850394.31,3429314.261
183,183,106.452786,29.586902,11850398.87,3429269.686
184,184,106.452752,29.586672,11850395.09,3429240.394
185,185,106.452647,29.585961,11850383.4,3429149.844
186,186,106.452636,29.585892,11850382.18,3429141.057
187,187,106.452477,29.584814,11850364.48,3429003.769
188,188,106.452477,29.584814,11850364.48,3429003.769
189,189,106.452488,29.584169,11850365.7,3428921.626
190,190,106.452488,29.584169,11850365.7,3428921.626
191,191,106.452497,29.584094,11850366.7,3428912.075
192,192,106.452518,29.583914,11850369.04,3428889.151
193,193,106.452518,29.583914,11850369.04,3428889.151
194,194,106.452609,29.583564,11850379.17,3428844.578
195,195,106.452609,29.583564,11850379.17,3428844.578
196,196,106.452689,29.583311,11850388.08,3428812.358
197,197,106.452698,29.58328,11850389.08,3428808.41
198,198,106.452752,29.583109,11850395.09,3428786.633
199,199,106.452885,29.582688,11850409.89,3428733.018
200,200,106.453,29.582322,11850422.7,3428686.408
201,201,106.453,29.582322,11850422.7,3428686.408
202,202,106.453041,29.582092,11850427.26,3428657.117
203,203,106.453041,29.582092,11850427.26,3428657.117
204,204,106.453051,29.581582,11850428.37,3428592.169
205,205,106.453051,29.581582,11850428.37,3428592.169
206,206,106.453015,29.581293,11850424.37,3428555.365
207,207,106.452941,29.580713,11850416.13,3428481.503
208,208,106.452917,29.580524,11850413.46,3428457.434
209,209,106.4528,29.579595,11850400.43,3428339.128
210,210,106.452753,29.579225,11850395.2,3428292.01
211,211,106.452703,29.578824,11850389.63,3428240.944
212,212,106.452694,29.578754,11850388.63,3428232.03
213,213,106.452684,29.578675,11850387.52,3428221.97
214,214,106.452684,29.578674,11850387.52,3428221.842
215,215,106.452618,29.578406,11850380.17,3428187.714
216,216,106.452504,29.577936,11850367.48,3428127.861
217,217,106.452504,29.577936,11850367.48,3428127.861
218,218,106.452366,29.577666,11850352.12,3428093.478
219,219,106.45235,29.577634,11850350.34,3428089.403
220,220,106.452335,29.577606,11850348.67,3428085.838
221,221,106.452206,29.577353,11850334.31,3428053.62
222,222,106.452018,29.576943,11850313.38,3428001.409
223,223,106.451984,29.576869,11850309.59,3427991.985
