index,lng,lat
0,106.461639,29.617458
1,106.461288,29.617582
2,106.461288,29.617582
3,106.460586,29.61768
4,106.460585,29.61768
5,106.460485,29.617679
6,106.460375,29.617678
7,106.459623,29.617671
8,106.459623,29.617671
9,106.458758,29.617841
10,106.45855,29.617882
11,106.458549,29.617882
12,106.458129,29.617756
13,106.458129,29.617756
14,106.458208,29.617252
15,106.458209,29.617245
16,106.458208,29.617245
17,106.458248,29.617025
18,106.458248,29.617025
19,106.458188,29.616705
20,106.458138,29.616616
21,106.458138,29.616616
22,106.458077,29.616577
23,106.457828,29.616419
24,106.457687,29.61623
25,106.457687,29.61623
26,106.457567,29.615982
27,106.457567,29.615981
28,106.457507,29.615772
29,106.457576,29.615461
30,106.457587,29.615412
31,106.457586,29.615411
32,106.457526,29.615322
33,106.457487,29.615263
34,106.457486,29.615263
35,106.457206,29.615185
36,106.456785,29.615149
37,106.456784,29.615149
38,106.456495,29.615082
39,106.456495,29.615082
40,106.456455,29.615132
41,106.456375,29.615152
42,106.456374,29.615151
43,106.456375,29.615152
44,106.456366,29.615145
45,106.456375,29.615152
46,106.456374,29.615151
47,106.456335,29.615123
48,106.456325,29.615043
49,106.456325,29.615043
50,106.456405,29.614993
51,106.456404,29.614991
52,106.456346,29.614786
53,106.456345,29.614783
54,106.456344,29.614782
55,106.456033,29.613934
56,106.456033,29.613934
57,106.456104,29.613524
58,106.456114,29.613465
59,106.456247,29.612694
60,106.456354,29.612072
61,106.456354,29.611922
62,106.456354,29.611922
63,106.456281,29.611494
64,106.456091,29.610383
65,106.456074,29.610284
66,106.456074,29.610284
67,106.455994,29.610275
68,106.455991,29.610266
69,106.455981,29.610238
70,106.455944,29.610135
71,106.455944,29.610135
72,106.45415,29.609728
73,106.454,29.609715
74,106.453791,29.609698
75,106.45321,29.609649
76,106.45316,29.609645
77,106.453159,29.609645
78,106.453159,29.609644
79,106.452836,29.609588
80,106.452608,29.609548
81,106.452608,29.609548
82,106.451774,29.609671
83,106.451767,29.609672
84,106.451546,29.609723
85,106.451546,29.609723
86,106.451214,29.609752
87,106.450946,29.609775
88,106.450535,29.609677
89,106.450535,29.609677
90,106.44986,29.609351
91,106.449625,29.609238
92,106.449525,29.60919
93,106.449525,29.60919
94,106.449445,29.60926
95,106.449444,29.60926
96,106.449315,29.609281
97,106.449195,29.609211
98,106.449195,29.609211
99,106.449165,29.609131
100,106.449165,29.609131
101,106.449189,29.609009
102,106.449209,29.60891
103,106.449215,29.608881
104,106.449225,29.608831
105,106.449225,29.608831
106,106.449166,29.608496
107,106.449165,29.608492
108,106.449166,29.608496
109,106.449155,29.608361
110,106.448985,29.608072
111,106.448645,29.607772
112,106.448645,29.607772
113,106.448482,29.607697
114,106.448174,29.607554
115,106.447265,29.607134
116,106.446928,29.60691
117,106.446909,29.606898
118,106.446905,29.606894
119,106.446715,29.606675
120,106.446654,29.606605
121,106.446545,29.606295
122,106.446545,29.606295
123,106.446305,29.605125
124,106.446305,29.605125
125,106.446148,29.604569
126,106.446015,29.604097
127,106.445988,29.604003
128,106.445882,29.603676
129,106.445816,29.603475
130,106.445717,29.602955
131,106.445641,29.601605
132,106.445602,29.600915
133,106.445549,29.599986
134,106.445599,29.599726
135,106.445599,29.599726
136,106.445739,29.599496
137,106.445965,29.599243
138,106.44613,29.599057
139,106.446238,29.598919
140,106.446332,29.598799
141,106.446332,29.598799
142,106.44642,29.598686
143,106.44654,29.598196
144,106.44652,29.597817
145,106.446431,29.597417
146,106.446122,29.596447
147,106.446062,29.596097
148,106.446053,29.595817
149,106.446113,29.595467
150,106.446113,29.595467
151,106.446324,29.594977
152,106.446363,29.594887
153,106.446513,29.594727
154,106.446513,29.594727
155,106.446703,29.594597
156,106.446973,29.594517
157,106.447353,29.594487
158,106.447353,29.594487
159,106.447914,29.594489
160,106.448144,29.59449
161,106.449014,29.594493
162,106.449174,29.594494
163,106.449174,29.594494
164,106.449795,29.594433
165,106.450115,29.594342
166,106.450395,29.594181
167,106.450586,29.59402
168,106.450726,29.59379
169,106.450726,29.593789
170,106.450816,29.59357
171,106.450816,29.593569
172,106.450877,29.59327
173,106.450877,29.593269
174,106.451319,29.591368
175,106.451319,29.591367
176,106.4516,29.590357
177,106.451753,29.58997
178,106.451884,29.589639
179,106.452604,29.587823
180,106.452604,29.587822
181,106.452703,29.587423
182,106.452745,29.587252
183,106.452786,29.586902
184,106.452752,29.586672
185,106.452647,29.585961
186,106.452636,29.585892
187,106.452477,29.584814
188,106.452477,29.584814
189,106.452488,29.584169
190,106.452488,29.584169
191,106.452497,29.584094
192,106.452518,29.583914
193,106.452518,29.583914
194,106.452609,29.583564
195,106.452609,29.583564
196,106.452689,29.583311
197,106.452698,29.58328
198,106.452752,29.583109
199,106.452885,29.582688
200,106.453,29.582322
201,106.453,29.582322
202,106.453041,29.582092
203,106.453041,29.582092
204,106.453051,29.581582
205,106.453051,29.581582
206,106.453015,29.581293
207,106.452941,29.580713
208,106.452917,29.580524
209,106.4528,29.579595
210,106.452753,29.579225
211,106.452703,29.578824
212,106.452694,29.578754
213,106.452684,29.578675
214,106.452684,29.578674
215,106.452618,29.578406
216,106.452504,29.577936
217,106.452504,29.577936
218,106.452366,29.577666
219,106.45235,29.577634
220,106.452335,29.577606
221,106.452206,29.577353
222,106.452018,29.576943
223,106.451984,29.576869
224,106.451984,29.576869
225,106.451804,29.57664
226,106.451655,29.57607
227,106.451655,29.575971
228,106.451535,29.575611
229,106.451525,29.575511
230,106.451551,29.575455
231,106.451595,29.575361
232,106.451686,29.574714
233,106.451686,29.574714
234,106.451716,29.574553
235,106.451796,29.57412
236,106.451844,29.57341
237,106.451855,29.57325
238,106.451866,29.57308
239,106.451881,29.57286
240,106.45189,29.57272
241,106.451908,29.57246
242,106.451908,29.57246
243,106.452007,29.572124
244,106.452007,29.572124
245,106.452067,29.572006
246,106.452249,29.571648
247,106.452249,29.571648
248,106.452469,29.571367
249,106.452469,29.571367
250,106.45279,29.571036
251,106.45279,29.571036
252,106.452919,29.570933
253,106.453109,29.570782
254,106.453489,29.570479
255,106.453919,29.570136
256,106.454875,29.569373
257,106.454875,29.569373
258,106.454974,29.569302
259,106.455478,29.56894
260,106.455576,29.568869
261,106.455747,29.568766
262,106.455747,29.568766
263,106.456248,29.568583
264,106.456409,29.568571
265,106.456409,29.568571
266,106.456559,29.56857
267,106.456609,29.56857
268,106.456609,29.56857
269,106.458133,29.568916
270,106.458133,29.568916
271,106.458293,29.568884
272,106.458293,29.568884
273,106.459878,29.568887
274,106.460028,29.568887
275,106.460252,29.568846
276,106.460439,29.568812
277,106.460439,29.568812
278,106.460811,29.568708
279,106.461212,29.568264
280,106.461213,29.568263
281,106.461636,29.567679
282,106.462046,29.567114
283,106.462271,29.566877
284,106.463069,29.566037
285,106.463327,29.565765
286,106.463431,29.565656
287,106.463435,29.565652
288,106.463609,29.565481
289,106.463649,29.565441
290,106.463705,29.565387
291,106.463853,29.565241
292,106.463853,29.565241
293,106.464305,29.564855
294,106.464305,29.564855
295,106.465089,29.564466
296,106.46557,29.564228
297,106.46567,29.564216
298,106.46567,29.564216
299,106.465929,29.564118
300,106.466081,29.56406
301,106.466162,29.564029
302,106.466162,29.564029
303,106.466166,29.563959
304,106.466172,29.563869
305,106.466116,29.563639
306,106.466057,29.5634
307,106.466004,29.563181
308,106.465982,29.563092
309,106.465982,29.563092
310,106.465925,29.562602
311,106.465907,29.562443
312,106.465903,29.562412
313,106.4659,29.562382
314,106.465854,29.561984
315,106.465842,29.561884
316,106.465842,29.561884
317,106.465837,29.561694
318,106.465834,29.561584
319,106.465822,29.561145
320,106.465822,29.561145
321,106.465953,29.560973
322,106.466083,29.560921
323,106.466364,29.560887
324,106.46787,29.560893
325,106.468493,29.560896
326,106.468493,29.560895
327,106.468498,29.560895
328,106.469608,29.560903
329,106.470019,29.560905
330,106.470461,29.560908
331,106.470511,29.560909
332,106.470642,29.56091
333,106.470742,29.56091
334,106.471717,29.560917
335,106.472882,29.560925
336,106.473063,29.560992
337,106.473063,29.560992
338,106.473103,29.561162
339,106.473103,29.561162
340,106.473083,29.561242
341,106.473083,29.561242
342,106.472803,29.561488
343,106.47208,29.56212
344,106.471978,29.56221
345,106.471978,29.56221
346,106.471837,29.562352
347,106.471837,29.562352
348,106.471636,29.562665
349,106.471636,29.562665
350,106.471526,29.562901
351,106.47147,29.56302
352,106.471432,29.563102
353,106.471386,29.5632
354,106.471306,29.563372
355,106.471274,29.563441
356,106.471274,29.563441
357,106.471342,29.563651
358,106.471355,29.56369
359,106.471355,29.56369
360,106.471365,29.56385
361,106.471294,29.563961
362,106.471294,29.563961
363,106.471194,29.564022
364,106.471026,29.564057
365,106.470722,29.56412
366,106.470722,29.56412
367,106.470589,29.564241
368,106.470377,29.564434
369,106.470231,29.564567
370,106.47023,29.564568
371,106.470226,29.564563
372,106.470119,29.564662
373,106.470051,29.564725
374,106.469737,29.565015
375,106.469737,29.565015
376,106.469445,29.56535
377,106.469341,29.565469
378,106.469182,29.565652
379,106.469013,29.565846
380,106.468913,29.566046
381,106.468842,29.566189
382,106.468841,29.566198
383,106.468834,29.566319
384,106.468818,29.566609
385,106.468816,29.566639
386,106.468802,29.566879
387,106.468802,29.56688
388,106.468804,29.56721
389,106.468805,29.56725
390,106.468807,29.567549
391,106.468807,29.567589
392,106.468809,29.567779
393,106.468812,29.568319
394,106.468818,29.569089
395,106.468819,29.569229
396,106.46882,29.569369
397,106.46882,29.569369
398,106.46885,29.569698
399,106.46891,29.569867
400,106.46891,29.569867
401,106.468913,29.569872
402,106.469252,29.570402
403,106.469385,29.570608
404,106.469469,29.57074
405,106.469789,29.57124
406,106.469924,29.571451
407,106.470034,29.571679
408,106.470104,29.572098
409,106.470103,29.572138
410,106.470083,29.572699
411,106.470083,29.572708
412,106.470063,29.573469
413,106.470063,29.573469
414,106.470051,29.573498
415,106.469952,29.57374
416,106.469873,29.573852
417,106.469415,29.574506
418,106.469304,29.574664
419,106.469184,29.574835
420,106.468967,29.575145
